"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",1,"f2bf1b0f","Che Adams","Southampton","Premier League",175,76,"Forward","Right","Scotland",26.27,"Che Adams - 26.27 - Southampton",0.37,0.11,0.37,0,0,0,0,0.32,0.32,0.12,0.43,2.23,1.1,49.2,0.16,0.33,12.5,0,0.14,0.04,0.04,15.19,21.77,69.8,247.28,48.54,8.18,11.03,74.2,4.57,5.77,79.1,1.64,2.52,65.2,1.17,0.99,0.55,0.07,1.42,20.93,0.84,0,0.11,5.66,0.73,0.69,0,0,0,0,13.04,4.97,3.76,1.64,15.63,1.42,0.11,0.8,0.07,0.33,1.06,0.8,2.05,1.39,0.04,0.07,0.26,0.29,0,0.11,0.11,0,0,0,0,0,0.62,0.33,0.15,0.33,0.15,0.11,0.66,16.7,0.55,12.93,3.32,25.7,1.53,5.44,5.95,0.95,0.15,0,0.4,1.02,0.88,0,34.08,1.31,3.91,14.32,17.39,4.97,33.24,0.84,1.5,56.1,0.95,0.04,20.78,83.75,36.12,1.9,0.66,0.51,2.7,1.79,45.04,24.58,54.6,6.83,0,1.31,1.79,0.26,0,0,0,4.68,2.78,5.44,33.8,1
"2",5,"ac05f970","Michail Antonio","West Ham","Premier League",180,82,"Forward","Right","Jamaica",32.55,"Michail Antonio - 32.55 - West Ham",0.21,0.18,0.21,0,0,0.18,0,0.28,0.28,0.16,0.44,2.02,0.67,33.3,0.1,0.31,13.9,0,0.14,-0.08,-0.08,12.58,19.91,63.2,205.66,39.51,6.73,9.01,74.7,4.14,6.4,64.8,1.14,2.3,49.4,1.11,0.7,0.98,0.41,1.24,18.8,1.11,0.1,0.16,6.68,0.62,1.71,0.03,0,0,0,10.85,4.82,4.25,2.9,13.18,1.01,0.41,0.28,0.16,0.7,1.09,0.67,2.59,1.73,0,0.39,0.18,0.18,0.1,0.39,0.23,0,0.05,0.05,0.05,0,0.62,0.52,0.23,0.18,0.21,0.1,0.6,17.4,0.49,15.66,4.35,27.8,1.04,5.67,8.96,0.78,0.1,0,0.41,1.04,0.52,0,34.13,0.75,2.43,14.16,20.09,4.95,33.04,1.37,2.95,46.5,1.53,0.13,23.92,128.22,75.19,3.83,1.19,0.96,3.75,2.98,48.26,25.79,53.4,7.66,0,1.48,1.84,0.47,0,0,0,3.99,2.8,4.38,39,1
"3",8,"68c720b5","Adam Armstrong","Southampton","Premier League",172,69,"Forward","Right","England",25.68,"Adam Armstrong - 25.68 - Southampton",0.12,0.18,0.12,0,0,0.06,0,0.23,0.23,0.11,0.35,2.2,0.71,32.4,0.05,0.17,15.4,0,0.11,-0.11,-0.11,16.06,22.25,72.2,272.68,50.32,8.03,10.05,79.9,6.19,7.97,77.6,1.49,2.68,55.6,0.89,1.13,0.95,0.18,1.96,20.11,2.14,0,0,3.93,0.71,1.19,0,0,0,0,14.34,4.04,3.87,4.82,14.81,1.55,0.12,0.36,0.06,0.06,0.95,1.13,1.73,1.25,0,0.24,0.12,0.12,0,0.18,0.18,0,0,0,0,0,0.77,0.48,0.3,0.3,0.18,0.06,0.65,9.1,0.59,14.4,4.16,28.9,1.96,5.89,6.54,1.31,0.18,0,0.65,1.43,0.54,0,33.73,0.77,3.81,14.34,18.32,4.7,31.59,1.19,2.5,47.6,1.25,0.12,22.66,150.61,88.22,3.87,1.49,0.89,1.9,1.67,38.43,22.9,59.6,5.83,0,1.01,0.65,0.12,0,0,0,4.16,0.89,2.38,27.3,1
"4",10,"d5dd5f1f","Pierre Emerick Aubameyang","Chelsea","Premier League",187,79,"Forward","Right","Gabon",33.33,"Pierre Emerick Aubameyang - 33.33 - Chelsea",0.63,0.07,0.63,0,0.07,0.11,0,0.6,0.54,0.07,0.61,3.07,1.52,49.4,0.2,0.41,12.2,0,0.18,0.03,0.09,15.94,21.48,74.2,229.88,29.62,9.58,12.39,77.3,5.32,6.95,76.6,0.44,0.78,57.1,0.7,0.48,0.74,0.04,1.07,19.89,1.59,0,0.07,4.7,0.04,0.59,0,0,0,0,16.05,3.29,2.14,2.4,18.01,0.41,0.07,0.11,0.07,0.26,1.63,0.92,1.55,1.04,0,0.04,0.41,0.04,0.04,0.18,0.15,0,0,0.04,0,0,0.41,0.3,0.04,0.22,0.15,0.07,0.44,16.7,0.37,16.79,4.47,26.7,1.11,5.92,9.76,1.15,0.22,0,0.44,0.85,0.44,0.04,30.8,0.55,2.03,14.72,15.49,4.92,29.14,0.41,0.67,61.1,0.44,0.04,17.42,84.79,47.48,2.44,0.74,0.7,1.77,0.92,39.97,22.89,57.3,8.21,0,0.96,0.78,0.63,0,0,0,3.07,0.7,1.52,31.7,1
"5",18,"97220da2","Armando Broja","Chelsea","Premier League",191,83,"Forward","Right","Albania",21.11,"Armando Broja - 21.11 - Chelsea",0.26,0,0.26,0,0,0.09,0,0.28,0.28,0.07,0.35,2.02,0.92,45.7,0.13,0.29,12.1,0,0.14,-0.01,-0.01,11.53,18.54,62.2,147.47,31.52,7.32,10.52,69.6,3.16,5.7,55.4,0.18,0.53,33.3,0.35,0.88,0.13,0,0.92,18.28,0.26,0,0,6.36,0.13,0.92,0,0,0,0,9.95,4.78,3.81,1.18,10.96,2.59,0,0.18,0,0.48,1.05,1.23,1.71,0.83,0,0.26,0.18,0.26,0.18,0.18,0.04,0,0.04,0,0.09,0,0.75,0.48,0.22,0.31,0.22,0.04,0.61,7.1,0.57,17.14,5.26,30.7,1.49,6.31,9.34,1.32,0.09,0,0.48,1.23,0.35,0,32.27,0.61,2.5,14.12,17.71,4.95,32,1.53,2.94,52.2,1.67,0.18,20.08,114.64,69.44,3.55,0.96,1.23,3.11,2.85,48.62,23.28,47.9,5.57,0,1.62,1.49,0.57,0.04,0,0,4.91,4.3,7.63,36,1
"6",20,"59e6e5bf","Dominic Calvert Lewin","Everton","Premier League",189,63,"Forward","Right","England",25.59,"Dominic Calvert Lewin - 25.59 - Everton",0.16,0.16,0.16,0,0.08,0.24,0,0.25,0.19,0.13,0.32,1.8,0.47,26.1,0.09,0.33,13.1,0,0.11,-0.09,-0.03,12.4,20.48,60.5,155.44,32.88,7.93,12.4,63.9,2.59,5.26,49.3,0.63,0.78,80,0.71,0.78,0.39,0,0.86,19.77,0.71,0,0,9.97,0,0.24,0,0,0,0,8.08,8.24,4.16,1.65,9.02,2.43,0,1.73,0.08,0.31,1.02,0.63,1.73,1.33,0,0.16,0,0.16,0.08,0.24,0.24,0,0,0,0,0,1.1,0.86,0.16,0.39,0.55,0.16,0.39,40,0.24,14.75,3.77,25.5,0.71,6.67,7.38,0.78,0.16,0,0.08,1.18,0.78,0,32.17,0.94,2.82,14.05,16.24,3.84,31.39,0.47,0.63,75,0.47,0.08,14.28,61.83,17.81,0.71,0.16,0.08,3.61,1.96,53.51,24.09,45,4.63,0,1.65,1.41,0.55,0,0,0,3.22,7.22,7.69,48.4,1
"7",22,"beb391dd","Maxwel Cornet","West Ham","Premier League",179,68,"Forward","Left","C&#244;te d'Ivoire",26.06,"Maxwel Cornet - 26.06 - West Ham",0.42,0.05,0.42,0,0.05,0.05,0,0.33,0.29,0.07,0.36,2.35,1.04,44.4,0.18,0.4,16,0.21,0.12,0.09,0.13,14.41,22.13,65.1,211.9,48.86,8.14,11.22,72.6,3.92,5.32,73.5,1.15,3.08,37.3,0.68,0.47,0.68,0.26,1.04,19.84,2.3,0.1,0.1,6.37,0.99,1.1,1.72,1.2,0.26,0.1,13.99,3.76,4.39,14.62,4.07,0.94,0.31,0.37,0.05,0.16,1.25,0.52,1.36,0.84,0.16,0.05,0.1,0.21,0,0.31,0.05,0.05,0.05,0.05,0.1,0,1.04,0.47,0.42,0.37,0.26,0.26,0.63,41.7,0.37,15.97,4.39,27.5,3.71,6.63,5.64,0.68,0.16,0,0.42,1.46,0.78,0,34.51,0.84,4.65,11.75,20.15,4.33,32.11,0.57,2.09,27.5,0.73,0.05,20.36,90.94,51.89,2.4,0.84,0.42,2.56,1.83,43.23,22.6,52.3,7,0,1.31,1.2,1.31,0.1,0,0,5.38,2.19,3.71,37.2,1
"8",24,"ca45605e","Patson Daka","Leicester City","Premier League",180,71,"Forward","Right","Zambia",24.03,"Patson Daka - 24.03 - Leicester City",0.61,0.2,0.61,0,0,0.2,0,0.45,0.45,0.2,0.64,2.28,1.26,55.6,0.27,0.48,15.3,0,0.2,0.16,0.16,13.61,18.21,74.7,196.14,29.65,7.89,10.02,78.8,4.65,5.87,79.3,0.46,0.71,64.3,1.06,0.51,0.4,0.15,0.81,16.24,1.97,0,0.1,4.55,0,0.71,0,0,0,0,13.46,2.88,1.87,4.5,11.79,0.46,0.15,0.25,0,0.1,1.21,0.71,2.07,1.77,0,0.05,0.05,0.1,0.1,0.46,0.4,0,0,0,0,0.05,1.11,0.71,0.25,0.61,0.25,0.1,0.91,11.1,0.81,18.82,6.27,33.3,1.47,7.59,9.76,0.81,0.1,0,0.4,1.52,0.56,0,29.95,0.81,2.63,12.95,15.28,4.86,27.98,0.35,1.32,26.9,0.51,0,16.8,63.84,34.05,2.18,0.4,0.51,2.93,1.47,38.45,19.68,51.2,6.48,0,1.47,1.32,0.56,0,0,0,4.55,1.47,2.88,33.7,1
"9",41,"1f44ac21","Erling Haaland","Manchester City","Premier League",191,87,"Forward","Left","Norway",22.24,"Erling Haaland - 22.24 - Manchester City",1.29,0.26,1.11,0.18,0.18,0.07,0,0.95,0.81,0.2,1.02,4.05,1.92,47.3,0.27,0.58,12.3,0,0.2,0.34,0.29,13.67,18.57,73.6,180.11,32.71,8.25,10.68,77.2,3.68,4.97,74.1,0.59,0.85,69.6,0.96,0.81,0.81,0,1.47,16.61,1.95,0,0.26,5.01,0.04,0.29,0,0,0,0,12.86,4.09,1.62,13.19,3.06,1.07,0.07,0.29,0.18,0.26,0.92,0.48,2.36,1.73,0,0.07,0.33,0.18,0.04,0.48,0.37,0,0.04,0.04,0.04,0,0.07,0.07,0,0.04,0.04,0,0.07,0,0.07,12.01,4.02,33.4,0.26,3.28,8.47,0.55,0.07,0,0.18,0.26,0.85,0,29.47,0.99,1.84,12.38,16.17,7.44,27.37,0.41,0.96,42.3,0.52,0.11,15.69,66.86,39.01,2.43,0.55,0.99,1.95,1.51,40.34,22.1,54.8,7.74,0,0.74,0.88,0.52,0.04,0,0,3.02,1.62,1.77,47.8,1
"10",47,"07802f7f","Danny Ings","Aston Villa","Premier League",178,73,"Forward","Right","England",30.24,"Danny Ings - 30.24 - Aston Villa",0.28,0.23,0.28,0,0,0.28,0,0.37,0.37,0.09,0.46,2.93,0.96,32.7,0.1,0.29,14.3,0,0.12,-0.08,-0.08,14.18,19.41,73,197.61,41.06,8.94,11.14,80.3,3.21,4.44,72.2,1.13,1.91,58.8,0.9,0.79,0.56,0.11,1.13,18.56,0.84,0,0,4.67,0.39,0.56,0,0,0,0,13.16,3.15,3.09,3.49,13.89,0.96,0,0.11,0.06,0.23,1.01,1.24,1.74,1.24,0,0.06,0.28,0.06,0.11,0.28,0.23,0,0.06,0,0,0,1.41,0.68,0.28,0.68,0.45,0.56,1.35,41.7,0.79,18,4.95,27.5,1.86,7.99,8.16,1.35,0.11,0,0.45,1.86,0.96,0,31.28,0.96,3.04,13.5,16.14,6.02,30.49,0.39,1.46,26.9,0.51,0.11,19.46,88.88,40.73,2.25,0.56,0.56,1.91,1.29,36.84,21.26,57.7,6.36,0,1.35,0.62,0.68,0,0,0,4.28,1.46,2.36,38.2,1
"11",48,"8e92be30","Alexander Isak","Newcastle Utd","Premier League",190,69,"Forward","Right","Sweden",23.08,"Alexander Isak - 23.08 - Newcastle Utd",0.4,0.07,0.29,0.11,0.15,0.22,0,0.51,0.39,0.12,0.51,3.05,1.38,45.2,0.1,0.21,14.8,0.07,0.13,-0.11,-0.1,13.96,19.48,71.6,203.08,37.66,8.11,10.25,79.1,4.29,5.71,75.2,0.8,1.45,55,0.91,0.91,0.73,0.07,1.42,17.85,1.64,0,0.15,5.2,0.07,0.84,0.04,0,0,0,13.38,3.67,2.44,3.49,13.27,0.95,0.18,0.44,0.15,0.33,1.02,0.55,2.69,1.56,0,0.4,0.33,0.33,0.07,0.22,0.11,0,0.04,0.07,0,0,0.55,0.33,0.07,0.33,0.15,0.15,0.47,30.8,0.33,12,3.2,26.7,0.87,3.89,7.23,0.65,0.11,0,0.22,0.76,0.44,0,31.48,0.62,2.18,13.12,18.97,6.18,29.62,1.71,3.6,47.5,2.07,0.22,22.39,121.81,74.73,4.22,1.56,1.31,2.25,1.71,39.98,23.77,59.5,7.63,0,1.31,1.42,0.58,0,0,0,3.34,1.53,2.04,42.9,1
"12",49,"c931d9f9","Daniel James","Fulham","Premier League",179,78,"Forward","Right","Wales",24.95,"Daniel James - 24.95 - Fulham",0.14,0.14,0.14,0,0,0.25,0.04,0.21,0.21,0.1,0.31,2.02,0.58,28.6,0.07,0.25,15.7,0,0.1,-0.06,-0.06,13.08,19.82,66,190.52,50.22,6.99,9.12,76.7,4.5,6.52,69.1,0.79,2.02,39.3,0.94,0.61,0.86,0.11,1.77,18.63,1.19,0.04,0,4.04,0.32,1.55,0,0,0,0,13.58,2.95,3.28,3.64,14.7,0.76,0.29,0.11,0.04,0.54,1.15,0.86,1.91,1.37,0,0.11,0.18,0.25,0,0.18,0.11,0,0.04,0,0.04,0,1.44,0.72,0.43,0.58,0.43,0.47,1.15,40.6,0.68,23.06,6.12,26.6,3.35,9.22,10.48,0.97,0.11,0,0.65,2.09,0.32,0,30.44,0.86,3.6,11.64,17.29,4.4,29.29,0.72,1.59,45.5,0.76,0.07,20.43,136.48,86.94,5.08,0.97,1.23,1.87,1.23,36.43,19.92,54.7,6.02,0,1.3,1.69,0.47,0.04,0,0,5.01,0.54,2.09,20.5,1
"13",52,"0cd31129","Brennan Johnson","Nott'ham Forest","Premier League",178,73,"Forward","","Wales",21.4,"Brennan Johnson - 21.4 - Nott'ham Forest",0.19,0,0.1,0.1,0.19,0.19,0,0.23,0.08,0.04,0.11,1.24,0.29,23.1,0.08,0.33,18.1,0,0.06,-0.04,0.02,9.14,15.52,58.9,145.81,31.14,5.05,7.14,70.7,3.43,5.62,61,0.48,0.95,50,0.48,0.48,0.48,0.1,0.86,15.05,0.48,0,0,3.05,0.48,1.71,0.1,0.1,0,0,8.86,4.19,2.48,2.48,11.24,1.14,0,0.29,0,0.29,0.95,0.86,1.05,0.57,0,0,0.1,0.1,0.29,0,0,0,0,0,0,0,0.76,0.48,0.19,0.19,0.38,0.38,0.38,100,0,11.14,2.38,21.4,1.43,5.33,4.38,0.95,0.1,0,0.67,1.43,0.19,0,23.9,0.19,2.19,9.33,14.1,3.81,23.24,0.48,1.24,38.5,0.76,0.19,16.48,109.14,69.14,3.81,0.86,1.24,2.19,0.86,32,16.48,51.5,4,0,1.05,0.67,0.57,0,0,0,3.52,0.67,2.29,22.6,1
"14",62,"3544641e","Sekou Mara","Southampton","Premier League",184,69,"Forward","Right","France",20.22,"Sekou Mara - 20.22 - Southampton",0.6,0.12,0.48,0.12,0.12,0.12,0,0.46,0.37,0.1,0.48,3.93,1.43,36.4,0.12,0.33,18.7,0,0.1,0.13,0.11,12.02,17.26,69.7,192.86,47.38,6.07,8.69,69.9,4.29,5.48,78.3,1.07,1.55,69.2,1.31,0.95,0.48,0.12,1.19,15.24,2.02,0,0,4.52,0.24,0.48,0,0,0,0,12.38,2.5,2.38,1.55,13.33,0.6,0.12,0.24,0.12,0.36,1.19,0.6,2.86,1.9,0,0.48,0.24,0.24,0,0.6,0.24,0,0.24,0,0.12,0,1.07,0.71,0.36,0.36,0.36,0.12,1.07,11.1,0.95,24.88,5.71,23,2.5,11.31,11.07,0.71,0.12,0,0.24,1.31,0.36,0,32.74,0.6,3.21,15.48,15.71,5,30.71,1.67,4.17,40,1.9,0.24,20.6,87.62,33.1,1.55,0.48,0.12,2.86,2.26,39.52,21.19,53.6,5.48,0,2.38,1.79,0.36,0.12,0,0,6.19,2.02,4.76,29.8,1
"15",65,"50e6dc35","Jean Philippe Mateta","Crystal Palace","Premier League",192,82,"Forward","Right","France",25.31,"Jean Philippe Mateta - 25.31 - Crystal Palace",0.41,0.07,0.41,0,0,0.21,0,0.47,0.47,0.1,0.57,3.23,1.51,46.8,0.13,0.27,11.1,0,0.15,-0.05,-0.05,13.87,19.84,69.9,179.18,18.4,8.72,11.33,77,3.71,5.22,71.1,0.48,1.03,46.7,0.62,0.34,0.21,0.07,0.34,18.74,1.1,0,0,5.97,0.14,0.62,0,0,0,0,12.7,3.71,3.43,4.6,10.92,1.99,0,0.34,0.07,0.27,0.89,0.62,1.58,1.24,0,0,0.34,0,0,0.14,0.07,0,0,0.07,0,0,0.76,0.62,0.27,0.41,0.07,0.21,1.03,20,0.82,19.57,4.19,21.4,1.85,10.5,7.21,0.82,0.21,0,0.34,1.1,1.37,0,31.92,1.51,3.57,15.51,14.07,5.56,30.82,1.1,1.85,59.3,1.17,0.14,17.71,78.12,34.12,2.2,0.41,0.82,2.54,1.44,45.45,22.79,50.2,5.42,0,1.65,0.69,1.03,0,0,0,3.91,3.16,4.19,43,1
"16",66,"4bcf39f6","Neal Maupay","Everton","Premier League",171,68,"Forward","Right","France",26.18,"Neal Maupay - 26.18 - Everton",0.22,0.09,0.22,0,0.04,0.27,0,0.26,0.23,0.08,0.31,2.39,0.58,24.1,0.09,0.38,14.8,0,0.09,-0.04,0,18.33,23.73,77.2,259.95,37.45,11.07,12.97,85.3,5.14,6.24,82.3,1.06,1.64,64.9,0.8,0.49,1.06,0.09,1.28,21.52,2.21,0.09,0.04,6.06,0.31,0.27,0,0,0,0,18.06,3.63,2.04,3.28,18.33,0.62,0.31,0.53,0.09,0.35,1.2,0.58,2.21,1.59,0,0.31,0.22,0.09,0,0.13,0.13,0,0,0,0,0,0.62,0.35,0.13,0.22,0.27,0.22,0.49,45.5,0.27,20.01,5.45,27.2,1.51,7.08,11.42,0.71,0.13,0,0.44,1.06,0.09,0,34.4,0.31,2.12,14.61,19.48,4.96,32.27,1.06,1.77,60,1.24,0.22,23.91,100.49,50.29,2.52,1.06,0.49,1.99,2.21,45.29,24.66,54.4,8.19,0,1.55,1.51,0.22,0,0,0,4.69,1.02,3.23,24,1
"17",67,"6afaebf2","Bryan Mbeumo","Brentford","Premier League",171,64,"Forward","Left","Cameroon",23.2,"Bryan Mbeumo - 23.2 - Brentford",0.12,0.21,0.09,0.03,0.03,0.09,0,0.24,0.22,0.11,0.33,2.3,0.74,32.1,0.04,0.12,16.7,0.03,0.1,-0.12,-0.13,17.57,26.34,66.7,298.26,72.64,9.15,11.55,79.3,5.85,8.59,68,2.01,4.13,48.6,1.09,0.94,0.94,0.24,1.77,24.3,2.04,0.44,0.06,5.23,1.06,1.95,0.86,0.41,0.15,0.15,15.92,4.81,5.61,20.37,3.48,0.92,0.56,0.32,0.12,0.71,1.62,0.71,2.24,1.51,0.32,0.15,0.09,0.15,0.03,0.41,0.32,0.06,0,0,0.03,0,1.09,0.74,0.15,0.5,0.44,0.21,0.56,36.8,0.35,14.17,4.13,29.2,2.3,6.17,5.7,0.89,0.18,0,0.83,1.92,0.62,0,37.88,0.89,5.11,14.2,21.41,4.64,35.85,1,2.07,48.6,1.03,0.15,24.15,139.55,76.24,3.87,0.97,1.03,2.39,1.95,44.11,26.16,59.3,8,0,0.71,1,0.32,0,0,0,5.67,1.12,3.48,24.4,1
"18",76,"4d77b365","Darwin Núñez","Liverpool","Premier League",187,79,"Forward","Right","Uruguay",23.32,"Darwin Núñez - 23.32 - Liverpool",0.69,0.09,0.69,0,0,0.09,0.09,0.55,0.55,0.13,0.68,4.59,1.82,39.6,0.15,0.38,15,0,0.12,0.15,0.15,11.09,18.36,60.4,170.9,37.59,6.24,8.84,70.6,2.69,5.28,50.8,1.21,2.34,51.9,0.78,0.43,0.69,0.17,1.13,17.67,0.69,0.17,0,5.37,0.78,2.25,0,0,0,0,11,3.38,3.98,2.95,12.82,0.87,0.17,0.09,0,0.43,1.3,0.61,1.56,0.87,0,0.26,0.26,0.09,0.09,0.17,0.09,0,0,0,0.09,0,1.13,0.69,0.35,0.43,0.35,0.09,0.43,20,0.35,14.38,4.33,30.1,1.91,5.02,7.45,0.69,0.09,0,0.43,1.56,0.61,0,33.35,0.87,3.55,12.04,20.44,8.49,32.66,1.21,2.17,56,1.39,0,21.83,143.36,87.4,4.24,1.47,1.56,3.38,1.73,41.84,23.65,56.5,8.84,0,1.47,1.04,1.73,0,0,0,4.68,2.77,4.42,38.6,1
"19",91,"b318a643","Salomón Rondón","Everton","Premier League",189,86,"Forward","Right","Venezuela",33.09,"Salomón Rondón - 33.09 - Everton",0.16,0.16,0.16,0,0,0.48,0.16,0.39,0.39,0.1,0.48,2.91,0.97,33.3,0.06,0.17,14.3,0,0.14,-0.23,-0.23,16.32,22.94,71.1,201.49,30.7,11.15,14.87,75,3.07,4.85,63.3,0.48,0.81,60,0.97,0.81,0.48,0,0.81,21.97,0.97,0,0,9.86,0.16,0.48,0,0,0,0,9.69,9.05,4.2,3.39,10.02,2.75,0.32,1.62,0,0.16,0.65,0.32,1.94,1.78,0,0.16,0,0,0,0.16,0.16,0,0,0,0,0,0.65,0.16,0,0.48,0.16,0.48,0.65,75,0.16,21.81,6.46,29.6,1.94,10.02,9.86,0.65,0.32,0,0.65,1.29,1.13,0,35.71,1.62,3.55,13.9,18.9,6.14,34.74,0.81,1.29,62.5,0.81,0.16,17.13,54.13,18.42,0.97,0,0.16,3.39,1.29,50.9,25.21,49.5,6.79,0,1.94,0.32,0.65,0,0,0,5.01,5.49,6.14,47.2,1
"20",98,"e77dc3b2","Dominic Solanke","Bournemouth","Premier League",187,74,"Forward","Right","England",25.1,"Dominic Solanke - 25.1 - Bournemouth",0.24,0.36,0.24,0,0,0,0,0.17,0.17,0.14,0.31,1.9,0.83,43.8,0.13,0.29,13.2,0,0.09,0.07,0.07,12.33,16.01,77,174.19,33.91,8.06,9.37,86.1,3.68,4.98,73.8,0.47,0.59,80,0.71,0.36,0.36,0.12,0.71,14.23,1.78,0,0,3.68,0.12,0.83,0,0,0,0,11.86,2.61,1.54,2.02,11.74,1.07,0.12,0,0,0,0.24,1.42,0.95,0.83,0,0,0.12,0,0,0.59,0.47,0,0,0.12,0,0,0.36,0.36,0.12,0.24,0,0.12,0.47,25,0.36,19.92,5.1,25.6,4.39,7.11,8.42,1.78,0.36,0,0,0.36,0.71,0,31.3,0.95,5.45,14.47,13.99,4.74,29.53,0.47,1.78,26.7,0.59,0,19.33,104.82,49.09,2.37,0.59,1.07,3.56,2.85,39.96,20.99,52.5,5.22,0,2.02,2.13,0.24,0,0,0,4.51,1.42,4.62,23.5,1
"21",104,"45963054","Jamie Vardy","Leicester City","Premier League",178,76,"Forward","Right","England",35.76,"Jamie Vardy - 35.76 - Leicester City",0.41,0.21,0.41,0,0.05,0.1,0,0.37,0.33,0.07,0.4,2.16,0.82,38.1,0.19,0.5,12.7,0,0.15,0.04,0.08,9.04,13,69.6,151.7,25.74,4.37,6.11,71.4,3.75,4.78,78.5,0.57,1.13,50,0.67,0.51,0.62,0.1,1.08,10.79,2.21,0,0,3.29,0.1,0.62,0,0,0,0,8.42,2.83,1.75,2.31,8.17,0.77,0.05,0.31,0.1,0.26,0.51,0.46,1.49,1.23,0,0.05,0.1,0,0.1,0.31,0.21,0,0.05,0.05,0,0,0.57,0.36,0.05,0.15,0.36,0.1,0.36,28.6,0.26,15.62,4.06,26,0.46,5.6,9.55,0.46,0,0,0.41,0.98,1.13,0.05,20.96,1.13,1.85,8.48,11.35,5.03,18.7,0.26,0.92,27.8,0.26,0,10.07,48.65,28.46,1.85,0.31,0.67,1.54,0.67,32.16,13.36,41.5,5.91,0,0.92,0.26,0.82,0,0,0,2.11,1.85,2.77,40,1
"22",105,"aed3a70f","Ollie Watkins","Aston Villa","Premier League",180,69,"Forward","Right","England",26.81,"Ollie Watkins - 26.81 - Aston Villa",0.3,0.11,0.27,0.03,0.03,0.16,0,0.34,0.31,0.11,0.42,2.17,0.89,41.3,0.13,0.3,12.7,0,0.15,-0.04,-0.04,15.32,21.11,72.6,204.33,38.41,9.88,12.59,78.5,3.92,5.58,70.4,0.65,1.19,54.5,0.92,0.79,0.68,0.05,1.3,20.14,0.97,0.03,0.14,5.95,0.16,0.81,0,0,0,0,14.18,3.95,2.98,2.52,14.48,1.27,0.19,0.41,0.05,0.46,0.73,1.08,2.11,1.6,0,0.14,0.16,0.14,0.08,0.24,0.14,0,0.03,0.03,0.05,0,0.73,0.57,0.08,0.35,0.3,0.14,0.46,29.4,0.32,17.05,4.14,24.3,1.16,7.36,8.53,1.19,0.11,0,0.46,1.19,0.81,0,33.48,0.92,2.27,14.81,18.05,5.36,32.51,0.68,1.43,47.2,0.73,0,20.27,92.71,52.7,3.03,0.68,1.38,2.68,2.49,45.83,25.39,55.4,7.63,0,1.06,1.38,0.54,0.03,0,0,3.22,2.87,3.84,42.7,1
